game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
3,1,Pursuers: 3 vs Evaders: 1,24,8977,adversary_0,active,"[0.8808395862579346, 0.4734148681163788, 2.0598113536834717, 0.9544216394424438, -0.698854923248291, 0.2455671727657318, -3.4910221099853516, -2.184966802597046, -1.994669795036316, -0.9348680973052979, -0.0, -0.0]","[0.0, 0.0, 0.7752728503644218, 0.0, 1.0]",,,,"[0.8808395862579346, 0.4734148681163788]","[2.0598113536834717, 0.9544216394424438]","[0.7407438, 4.1184115, 2.2028813]","[2.8036845, -2.5823596, -2.703311]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,24,8977,adversary_1,non-active,"[0.9037463068962097, -0.4280684292316437, 1.3609563112258911, 1.199988842010498, 0.698854923248291, -0.2455671727657318, -2.7921671867370605, -2.4305341243743896, -1.295814871788025, -1.180435299873352, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.8120011747535387, 0.0]",,,,"[0.9037463068962097, -0.4280684292316437]","[1.3609563112258911, 1.199988842010498]","[0.7407438, 3.70185, 1.752873]","[-0.33790827, -2.4253266, -2.4027553]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,24,8977,adversary_2,non-active,"[-0.727026641368866, 0.6866092681884766, -1.4312108755111694, -1.230545163154602, 3.4910221099853516, 2.184966802597046, 2.7921671867370605, 2.4305341243743896, 1.4963524341583252, 1.250098705291748, -0.0, -0.0]","[0.0, 0.9254243359204661, 0.0, 0.0, 1.0]",,,,"[-0.727026641368866, 0.6866092681884766]","[-1.4312108755111694, -1.230545163154602]","[4.1184115, 3.70185, 1.9498249]","[0.55923307, 0.716266, 0.69597477]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,24,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.994669795036316, 0.9348680973052979, 1.295814871788025, 1.180435299873352, -1.4963524341583252, -1.250098705291748]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[2.2028813, 1.752873, 1.9498249]","[0.43828171, 0.73883736, -2.445618]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,25,8977,adversary_0,active,"[0.8063880205154419, 0.5913867950439453, 2.147895336151123, 1.001763105392456, -0.696564257144928, 0.15541884303092957, -3.651808738708496, -2.163647413253784, -2.0827536582946777, -0.9822096228599548, -0.0, -0.0]","[0.0, 0.0, 0.7536368254462104, 0.0, 1.0]",,,,"[0.8063880205154419, 0.5913867950439453]","[2.147895336151123, 1.001763105392456]","[0.71369237, 4.2446527, 2.3027372]","[2.9220665, -2.6067162, -2.7009287]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,25,8977,adversary_1,non-active,"[0.8659821152687073, -0.5000750422477722, 1.4513310194015503, 1.157181978225708, 0.696564257144928, -0.15541884303092957, -2.955244541168213, -2.319066286087036, -1.3861894607543945, -1.137628436088562, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.8375776897016046, 0.0]",,,,"[0.8659821152687073, -0.5000750422477722]","[1.4513310194015503, 1.157181978225708]","[0.71369237, 3.7565327, 1.7932428]","[-0.21952629, -2.4762328, -2.454364]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,25,8977,adversary_2,non-active,"[-0.7105264663696289, 0.7036704421043396, -1.5039136409759521, -1.1618843078613281, 3.651808738708496, 2.163647413253784, 2.955244541168213, 2.319066286087036, 1.5690550804138184, 1.1814378499984741, -0.0, -0.0]","[0.0, 0.8848529785519124, 0.0, 0.0, 1.0]",,,,"[-0.7105264663696289, 0.7036704421043396]","[-1.5039136409759521, -1.1618843078613281]","[4.2446527, 3.7565327, 1.9641103]","[0.5348765, 0.6653598, 0.6453937]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,25,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 2.0827536582946777, 0.9822096228599548, 1.3861894607543945, 1.137628436088562, -1.5690550804138184, -1.1814378499984741]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[2.3027372, 1.7932428, 1.9641103]","[0.4406639, 0.6872286, -2.496199]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,26,8977,adversary_0,active,"[0.7451881766319275, 0.6668542623519897, 2.228533983230591, 1.0609017610549927, -0.6906048655509949, 0.04627266526222229, -3.803500175476074, -2.152419090270996, -2.1633925437927246, -1.0413483381271362, -0.0, -0.0]","[0.0, 0.0, 0.7359608418379218, 0.0, 1.0]",,,,"[0.7451881766319275, 0.6668542623519897]","[2.228533983230591, 1.0609017610549927]","[0.69215333, 4.3703, 2.4009736]","[3.0746896, -2.6266205, -2.6929762]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,26,8977,adversary_1,non-active,"[0.8347433805465698, -0.5506391525268555, 1.5379291772842407, 1.1071745157241821, 0.6906048655509949, -0.04627266526222229, -3.1128954887390137, -2.1986916065216064, -1.4727877378463745, -1.0876209735870361, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.8337364358214021, 0.0]",,,,"[0.8347433805465698, -0.5506391525268555]","[1.5379291772842407, 1.1071745157241821]","[0.69215333, 3.8110843, 1.8308531]","[-0.06690306, -2.5266395, -2.5055068]",[],[],"[-0.0, -0.0]"
